Title,URL,Audio Path
BeyoncÃ© - TEXAS HOLD 'EM,https://www.youtube.com/watch?v=238Z4YaAr1g&pp=ygUbQmV5b25jw4PCqSAtIFRFWEFTIEhPTEQgJ0VN,downloads/BeyoncÃ© - TEXAS HOLD 'EM.mp3
Myles Smith - Stargazing,https://www.youtube.com/watch?v=tKml80alH3Y&pp=ygUYTXlsZXMgU21pdGggLSBTdGFyZ2F6aW5n,downloads/Myles Smith - Stargazing.mp3
Billie Eilish - CHIHIRO,https://www.youtube.com/watch?v=BY_XwvKogC8&pp=ygUXQmlsbGllIEVpbGlzaCAtIENISUhJUk8%3D,downloads/Billie Eilish - CHIHIRO.mp3
Benson Boone - Slow It Down,https://www.youtube.com/watch?v=f4Y3b7un4LE&pp=ygUbQmVuc29uIEJvb25lIC0gU2xvdyBJdCBEb3du,downloads/Benson Boone - Slow It Down.mp3
ROSÃ - APT.,https://www.youtube.com/watch?v=Lwv254J8Ozk&pp=ygUOUk9Tw4PCiSAtIEFQVC4%3D,downloads/ROSÃ - APT..mp3
Rvssian - Santa,https://www.youtube.com/watch?v=9V_HpS9p4QY&pp=ygUPUnZzc2lhbiAtIFNhbnRh,downloads/Rvssian - Santa.mp3
"Ariana Grande - yes, and?",https://www.youtube.com/watch?v=eB6txyhHFG4&pp=ygUZQXJpYW5hIEdyYW5kZSAtIHllcywgYW5kPw%3D%3D,"downloads/Ariana Grande - yes, and?.mp3"
Taylor Swift - I Can Do It With a Broken Heart,https://www.youtube.com/watch?v=Sl6en1NPTYM&pp=ygUuVGF5bG9yIFN3aWZ0IC0gSSBDYW4gRG8gSXQgV2l0aCBhIEJyb2tlbiBIZWFydA%3D%3D,downloads/Taylor Swift - I Can Do It With a Broken Heart.mp3
Natanael Cano - Madonna,https://www.youtube.com/watch?v=fPyAklAUknM&pp=ygUXTmF0YW5hZWwgQ2FubyAtIE1hZG9ubmE%3D,downloads/Natanael Cano - Madonna.mp3
Bakermat - BaianÃ¡,https://www.youtube.com/watch?v=iaGjz4dtr3o&pp=ygUUQmFrZXJtYXQgLSBCYWlhbsODwqE%3D,downloads/Bakermat - BaianÃ¡.mp3
Eminem - Houdini,https://www.youtube.com/watch?v=22tVWwmTie8&pp=ygUQRW1pbmVtIC0gSG91ZGluaQ%3D%3D,downloads/Eminem - Houdini.mp3
Luis R Conriquez - Si No Quieres No,https://www.youtube.com/watch?v=-V-sywKOCwQ&pp=ygUjTHVpcyBSIENvbnJpcXVleiAtIFNpIE5vIFF1aWVyZXMgTm8%3D,downloads/Luis R Conriquez - Si No Quieres No.mp3
